"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","13","test_endpoint_smoke[GET-/api/logs/usage/summary]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","14","test_endpoint_smoke[GET-/api/users/]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","17","test_detect_industry","e2e","2026-04-30","failed","2026-04-30","","test_api_v3_comprehensive","",""
"Retrieve an aggregated summary of usage for the current billing period.
Superadmins see global totals. Tenant admins see organization totals.","35","GET /api/logs/usage/summary","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","5","test_endpoint_smoke[GET-/api/notifications/ws/{user_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","10","test_endpoint_smoke[POST-/api/notifications/read-all]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Retrieve a specific industry by ID.","35","GET /api/industries/{industry_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","8","test_openapi_endpoints[/api/industries/{industry_id}/templates-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","210","test_endpoint_smoke[GET-/api/industries]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","9","test_endpoint_smoke[POST-/api/documents/manual]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Retrieve payment and invoice history for the current tenant.","40","GET /api/billing/invoices","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","27","test_health_check","e2e","2026-04-30","passed","2026-04-30","","test_playwright_api","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","9","test_endpoint_smoke[GET-/api/users/me]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","10","test_endpoint_smoke[POST-/api/metering/record]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"List all categories with pagination and search.","194","GET /api/categories","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[PATCH-/api/industries/{industry_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","9","test_openapi_endpoints[/api/billing/subscription-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"Returns the Google OAuth2 authorization URL to allow the user to grant Drive access.","40","GET /api/integrations/google/auth-url","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","14","test_endpoint_smoke[GET-/api/notifications/]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[GET-/api/categories/{category_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"No description provided","14","PATCH /api/users/me","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Update industry details.","20","PATCH /api/industries/{industry_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"No description provided","1342","POST /api/templates/","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","7","test_openapi_endpoints[/api/metering/record-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"Delete a subcategory.","69","DELETE /api/subcategories/{subcategory_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","10","test_endpoint_smoke[GET-/api/integrations/google/status]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","13","test_endpoint_smoke[POST-/api/llm/detect-industry]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","14","test_endpoint_smoke[GET-/api/reports/{report_id}/versions]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","16","test_openapi_endpoints[/api/reports-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[GET-/]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Retrieve templates owned by the current tenant or public templates.","39","GET /api/templates/my/","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","10","test_endpoint_smoke[GET-/api/subcategories/{subcategory_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Update subcategory details.","67","PATCH /api/subcategories/{subcategory_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","10","test_endpoint_smoke[GET-/api/tenants/{tenant_id}/settings]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","12","test_openapi_endpoints[/api/roles-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"","7","test_openapi_endpoints[/-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","5","test_endpoint_smoke[POST-/api/tenants/register]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","7","test_openapi_endpoints[/api/templates/ai-builder-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[POST-/api/users/register]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","13","test_openapi_endpoints[/api/roles/{role_id}-patch]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"Create a new custom role specific to the current tenant.
Only accessible to tenant admins (e.g., enterprise_tenant).","48","POST /api/roles","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[POST-/api/roles]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","7","test_openapi_endpoints[/api/templates/public/-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"No description provided","23","GET /api/billing/subscription","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"No description provided","38","GET /api/templates/{template_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
